Name,Notes,Rating,Color,Rarity
Fierce Retribution,,G,W,U
Essence Capture,,G,U,U
Tyrant's Scorn,,G,M,U
Terminal Agony,,G,M,U
Repulse,,G,U,U
Savage Smash,,G,M,U
Hindering Light,,G,M,U
Humiliate,,G,M,U
Hypothesizzle,,G,M,U
Ride Down,,G,M,U
Decisive Denial,,G,M,U
Back for More,,G,M,U
Heartless Pillage,,G,M,U
Buried in the Garden,,G,M,U
Murder,,G,B,U
Fling,,G,R,U
Thornado,,G,G,U
Skewer the Critics,,G,R,U
Clear Shot,,G,G,U
Dust Bowl,,G,L,R
Path to Exile,,G,W,R
Pariah,,G,W,R
Fell the Mighty,,G,W,R
Archmage's Charm,,G,U,R
Archive Trap,,G,U,R
Commandeer,,G,U,R
Reanimate,,G,B,R
Surgical Extraction,,G,B,R
Imp's Mischief,,G,B,R
Electrodominance,,G,R,R
Skullcrack,,G,R,R
Collective Defiance,,G,R,R
Primal Command,,G,G,R
Primal Might,,G,G,R
Pest Infestation,,G,G,R
Unlicensed Hearse,,G,A,R
Detention Sphere,,G,M,R
Siphon Insight,,G,M,R
Bedevil,,G,M,R
Decimate,,G,M,R
Vanishing Verse,,G,M,R
Ionize,,G,M,R
Abrupt Decay,,G,M,R
Outlaws' Merriment,,G,M,R
Voidslime,,G,M,R
Endless Detour,,G,M,R
Void Rend,,G,M,R
Cruel Ultimatum,,G,M,R
Villainous Wealth,,G,M,R
Leyline Binding,,G,W,M
Crime // Punishment,,G,M,M
"Oko, Thief of Crowns",,G,M,M
Anguished Unmaking,,G,M,M
Fractured Identity,,G,M,M
Mindslaver,,G,A,M
Contagion Engine,,G,A,M
Grindstone,,G,A,M
Force of Vigor,,G,G,M
Indomitable Creativity,,G,R,M
Crackle with Power,,G,R,M
Overwhelming Forces,,G,B,M
Thoughtseize,,G,B,M
Mindbreak Trap,,G,U,M
Mana Drain,,G,U,M
Fomori Vault,,G,L,M
Tarnation Vista,,G,L,M
Nexus of Becoming,,G,A,M
Transmutation Font,,G,A,M
Sword of Wealth and Power,,G,A,M
Lotus Ring,,G,A,M
Torpor Orb,,G,A,M
Lost Jitte,,G,A,M
"Loot, the Key to Everything",,G,M,M
Vaultborn Tyrant,,G,G,M
Pest Control,,G,M,M
Omenpath Journey,,G,G,M
Bristlebud Farmer,,G,G,M
Sandstorm Salvager,,G,G,M
Molten Duplication,,G,R,M
Memory Vessel,,G,R,M
Legion Extruder,,G,R,M
Harvester of Misery,,G,B,M
Hostile Investigator,,G,B,M
Greed's Gambit,,G,B,M
Worldwalker Helm,,G,U,M
Simulacrum Synthesizer,,G,U,M
Esoteric Duplicator,,G,U,M
Oltec Matterweaver,,G,W,M
Rest in Peace,,G,W,M
Grand Abolisher,,G,W,M
Ancient Cornucopia,,G,G,M
Territory Forge,,G,R,M
Collector's Cage,,G,W,M
Generous Plunderer,,G,R,M
