Name,Color,Rarity,Kevin,Kevin_num,Nate,Nate_num,Tier,Tier_num,Kevin_error,Nate_error
Badlands Revival,M,U,C+,6.0,C-,4.0,B-,7.0,1.0,3.0
Form a Posse,M,U,B,8.0,B,8.0,C+,6.0,2.0,2.0
"Ertha Jo, Frontier Mentor",M,U,B,8.0,B-,7.0,B-,7.0,1.0,0.0
"Doc Aurlock, Grizzled Genius",M,U,B,8.0,B-,7.0,C,5.0,3.0,2.0
Make Your Own Luck,M,U,C+,6.0,D,2.0,B,8.0,2.0,6.0
Gold Pan,A,C,D+,3.0,D,2.0,D,2.0,1.0,0.0
Silver Deputy,A,C,D+,3.0,D+,3.0,D,2.0,1.0,1.0
Oasis Gardener,A,C,C,5.0,D,2.0,D+,3.0,2.0,1.0
Sterling Hound,A,C,D+,3.0,D+,3.0,C-,4.0,1.0,1.0
Lavaspur Boots,A,U,D+,3.0,C-,4.0,F,0.0,3.0,4.0
Boom Box,A,U,D-,1.0,D+,3.0,D-,1.0,0.0,2.0
Mobile Homestead,A,U,D+,3.0,C,5.0,C+,6.0,3.0,1.0
Tomb Trawler,A,U,D-,1.0,D,2.0,D-,1.0,0.0,1.0
Bandit's Haul,A,U,D,2.0,D+,3.0,C+,6.0,4.0,3.0
Redrock Sentinel,A,U,C-,4.0,C,5.0,C,5.0,1.0,0.0
Luxurious Locomotive,A,U,D+,3.0,D+,3.0,D,2.0,1.0,1.0
Abraded Bluffs,L,C,B-,7.0,C,5.0,B-,7.0,0.0,2.0
Bristling Backwoods,L,C,C,5.0,C,5.0,B-,7.0,2.0,2.0
Conduit Pylons,L,C,C,5.0,D+,3.0,C+,6.0,1.0,3.0
Creosote Heath,L,C,C+,6.0,C,5.0,B-,7.0,1.0,2.0
Eroded Canyon,L,C,C+,6.0,C,5.0,B-,7.0,1.0,2.0
Festering Gulch,L,C,B-,7.0,C,5.0,B-,7.0,0.0,2.0
Forlorn Flats,L,C,C,5.0,C,5.0,B-,7.0,2.0,2.0
Jagged Barrens,L,C,C,5.0,C,5.0,B-,7.0,2.0,2.0
Lonely Arroyo,L,C,B-,7.0,C,5.0,B-,7.0,0.0,2.0
Lush Oasis,L,C,C+,6.0,C,5.0,B-,7.0,1.0,2.0
Mirage Mesa,L,C,B,8.0,C-,4.0,B-,7.0,1.0,3.0
Soured Springs,L,C,C+,6.0,C,5.0,B-,7.0,1.0,2.0
Arid Archway,L,U,D,2.0,D-,1.0,C,5.0,3.0,4.0
Bucolic Ranch,L,U,D+,3.0,D-,1.0,B-,7.0,4.0,6.0
Sandstorm Verge,L,U,D+,3.0,D,2.0,D+,3.0,0.0,1.0
Dust Animus,W,R,B,8.0,A-,10.0,A,11.0,3.0,1.0
High Noon,W,R,D,2.0,D,2.0,F,0.0,2.0,2.0
Another Round,W,R,C-,4.0,D,2.0,F,0.0,4.0,2.0
Aven Interrupter,W,R,B,8.0,B-,7.0,B,8.0,0.0,1.0
Claim Jumper,W,R,B,8.0,B,8.0,C,5.0,3.0,3.0
"Fortune, Loyal Steed",W,R,C+,6.0,C+,6.0,A-,10.0,4.0,4.0
One Last Job,W,R,B-,7.0,D,2.0,B-,7.0,0.0,5.0
Archangel of Tithes,W,M,A-,10.0,A,11.0,C+,6.0,4.0,5.0
Final Showdown,W,M,B,8.0,B+,9.0,A,11.0,3.0,2.0
Three Steps Ahead,U,R,B+,9.0,C+,6.0,B,8.0,1.0,2.0
