Name,Notes,Rating,Color,Rarity
"Rakdos, the Muscle",,A+,M,M
"Selvala, Eager Trailblazer",,A,M,M
"Vraska, the Silencer",,B,M,M
"The Gitrog, Ravenous Ride",,A,M,M
"Oko, the Ringleader",,A+,M,M
"Kellan, the Kid",,B+,M,M
"Ghired, Mirror of the Wilds",,C,M,M
"Annie Flash, the Veteran",,A-,M,M
Blooming Marsh,,C-,L,R
Botanical Sanctum,,C-,L,R
Concealed Courtyard,,C-,L,R
Inspiring Vantage,,C-,L,R
Spirebluff Canal,,C-,L,R
Journey to Nowhere,,B,W,U
Fierce Retribution,,C-,W,U
Essence Capture,,D+,U,U
Tyrant's Scorn,,C+,M,U
Terminal Agony,,C,M,U
Repulse,,B-,U,U
Savage Smash,,C,M,U
Hindering Light,,D-,M,U
Humiliate,,D+,M,U
Hypothesizzle,,C,M,U
Ride Down,,C+,M,U
Decisive Denial,,C+,M,U
Back for More,,D+,M,U
Heartless Pillage,,D,M,U
Buried in the Garden,,B-,M,U
Murder,,C+,B,U
Fling,,C+,R,U
Thornado,,D,G,U
Skewer the Critics,,B-,R,U
Clear Shot,,B,G,U
Dust Bowl,,D-,L,R
Path to Exile,,D+,W,R
Pariah,,B+,W,R
Fell the Mighty,,C-,W,R
Archmage's Charm,,C,U,R
Archive Trap,,D-,U,R
Commandeer,,D-,U,R
Reanimate,,B+,B,R
Surgical Extraction,,D-,B,R
Imp's Mischief,,C-,B,R
Electrodominance,,A-,R,R
Skullcrack,,D+,R,R
Collective Defiance,,B+,R,R
Primal Command,,D+,G,R
Primal Might,,C+,G,R
Pest Infestation,,B-,G,R
Unlicensed Hearse,,C,A,R
Detention Sphere,,B-,M,R
Siphon Insight,,C,M,R
Bedevil,,C+,M,R
Decimate,,D-,M,R
Vanishing Verse,,C+,M,R
Ionize,,D,M,R
Abrupt Decay,,C+,M,R
Outlaws' Merriment,,A-,M,R
Voidslime,,D,M,R
Endless Detour,,C-,M,R
Void Rend,,C-,M,R
Cruel Ultimatum,,D,M,R
Villainous Wealth,,D+,M,R
Leyline Binding,,C,W,M
Crime // Punishment,,D,M,M
"Oko, Thief of Crowns",,A+,M,M
Anguished Unmaking,,B,M,M
Fractured Identity,,B,M,M
Mindslaver,,D-,A,M
Contagion Engine,,D-,A,M
Grindstone,,G,A,M
Force of Vigor,,G,G,M
Indomitable Creativity,,G,R,M
Crackle with Power,,C-,R,M
Overwhelming Forces,,D,B,M
Thoughtseize,,C-,B,M
