Name,Color,Rarity,Mana Value,Tier,Synergy,Buildaround,Comment,Image,Image Back
Return the Favor,R,U,2,SB,,,,https://cards.scryfall.io/large/front/a/9/a9cc02d1-799d-42aa-9bc2-4c05452b63b4.jpg?1712860602,
Rodeo Pyromancers,R,C,4,D-,,,,https://cards.scryfall.io/large/front/d/f/df877a29-06e1-474d-8600-410bbec674ae.jpg?1712355836,
Scalestorm Summoner,R,U,3,B-,,,,https://cards.scryfall.io/large/front/d/6/d603c00f-048a-4a05-9df9-52844819d523.jpg?1712355842,
Scorching Shot,R,U,2,C+,,,,https://cards.scryfall.io/large/front/f/9/f93d8357-83bd-4157-a389-68e4aa4985c8.jpg?1712355845,
Slickshot Show-Off,R,R,2,D,,,,https://cards.scryfall.io/large/front/7/0/7054012b-4f9d-44a0-aaf9-7fd3bddc7b2d.jpg?1712355850,
Stingerback Terror,R,R,4,A-,,,,https://cards.scryfall.io/large/front/d/8/d84d6e52-5c35-47bc-b160-876a3b0fcbe1.jpg?1712355854,
Take for a Ride,R,U,3,C+,True,,,https://cards.scryfall.io/large/front/c/8/c8e2ff9c-0e98-46f9-a33c-739388c5f3d0.jpg?1712355858,
Terror of the Peaks,R,M,5,A,,,,https://cards.scryfall.io/large/front/9/0/904ff94a-4db4-44a6-8593-89c32905b3fc.jpg?1712355862,
High Noon,W,R,2,F,,,,https://cards.scryfall.io/large/front/9/9/9995e0e6-7c9c-4fef-8fd2-8fb1622e6ec8.jpg?1712355285,
Thunder Salvo,R,C,2,C,,,,https://cards.scryfall.io/large/front/a/0/a0bf0ea9-0929-4d33-815a-6df29c399e7e.jpg?1712355867,
Trick Shot,R,C,5,D+,,,,https://cards.scryfall.io/large/front/c/d/cd3c2d02-67ca-4858-9b7a-3cfe8a08356c.jpg?1712355870,
Aloe Alchemist,G,U,2,B,,,,https://cards.scryfall.io/large/front/6/9/69f2f632-b6cc-4092-acd5-a6b152e90488.jpg?1712355875,
Ankle Biter,G,C,1,D,,,,https://cards.scryfall.io/large/front/4/2/424972d6-3b2c-449b-b786-749a77020fa1.jpg?1712355878,
Beastbond Outcaster,G,U,3,B+,,,,https://cards.scryfall.io/large/front/0/7/073b9ae8-8ac3-4824-aec4-84a80531aa23.jpg?1712355883,
Betrayal at the Vault,G,U,6,C+,,,,https://cards.scryfall.io/large/front/c/4/c494820f-607d-4ed2-8a86-a916ae390272.jpg?1712355886,
Bristlepack Sentry,G,C,2,C,,,,https://cards.scryfall.io/large/front/6/a/6aea6702-16a8-4073-9c83-fbea20a5fd32.jpg?1712355891,
"Bristly Bill, Spine Sower",G,M,2,A+,,,,https://cards.scryfall.io/large/front/5/2/52eef0d6-24b7-40b7-8403-e8e863d0cd55.jpg?1712355894,
Cactarantula,G,C,6,B-,,,,https://cards.scryfall.io/large/front/2/e/2e0e27f9-dc2c-4366-b810-3e8d0bdff8c3.jpg?1712355900,
Colossal Rattlewurm,G,R,4,A,,,,https://cards.scryfall.io/large/front/1/7/17a104d3-e4ac-44a0-9c6a-39965b1b9751.jpg?1712355903,
Holy Cow,W,C,3,C+,,,,https://cards.scryfall.io/large/front/9/0/90de84c9-941b-4056-8501-ce8a948b9643.jpg?1712355286,
Dance of the Tumbleweeds,G,C,2,B-,,,,https://cards.scryfall.io/large/front/c/a/caf0e715-befb-4904-82e6-d3f8c7fbd454.jpg?1712860584,
Drover Grizzly,G,C,3,C,,,,https://cards.scryfall.io/large/front/5/6/560062cd-34f8-4d30-9e25-099b03961724.jpg?1712355911,
Freestrider Commando,G,C,3,D+,,,,https://cards.scryfall.io/large/front/9/2/92762169-095e-46e2-82f6-5b2ff2232240.jpg?1712355916,
Freestrider Lookout,G,R,3,B+,,,,https://cards.scryfall.io/large/front/3/2/32370f05-52a2-405f-b2bb-1b8a9b0b69f8.jpg?1712355921,
Full Steam Ahead,G,U,5,D+,,,,https://cards.scryfall.io/large/front/0/8/084748d8-7169-4e86-a69c-631c6d7d3a1e.jpg?1712355924,
Giant Beaver,G,C,4,C+,,,,https://cards.scryfall.io/large/front/9/1/919826a9-c427-42c6-8885-a87f0b6d2192.jpg?1712355929,
Gold Rush,G,U,2,D,,,,https://cards.scryfall.io/large/front/1/5/15845be1-919d-4450-9de6-3552c52e8623.jpg?1712355933,
Goldvein Hydra,G,M,1,B+,,,,https://cards.scryfall.io/large/front/d/e/de0e01e4-e143-47fd-8565-7b48219bb546.jpg?1712355937,
Hardbristle Bandit,G,C,2,C,,,,https://cards.scryfall.io/large/front/c/b/cbe544fb-93b7-4640-b886-cb0b3e437357.jpg?1712355942,
Intrepid Stablemaster,G,U,2,B-,,,,https://cards.scryfall.io/large/front/4/d/4d6cdf2a-026a-41ba-87d9-8fcd8a67f06e.jpg?1712355945,
Inventive Wingsmith,W,C,3,D,,,,https://cards.scryfall.io/large/front/b/6/b6b36bb3-dacc-44f6-adcd-2c2d65513d8c.jpg?1712355293,
Map the Frontier,G,U,4,D-,,,,https://cards.scryfall.io/large/front/1/6/165f4428-e1a1-477d-bd90-138189e88163.jpg?1712355950,
Ornery Tumblewagg,G,R,3,A,,,,https://cards.scryfall.io/large/front/0/0/0020c31b-002a-4121-bc61-2c2c16e9afc8.jpg?1712355953,
Outcaster Greenblade,G,U,3,A-,,,,https://cards.scryfall.io/large/front/c/9/c9458f0f-5593-4ac9-934c-e215ef8093a7.jpg?1712355958,
Outcaster Trailblazer,G,R,3,B+,,,,https://cards.scryfall.io/large/front/3/3/33b9cd6c-d75c-4905-aa38-ff03a9c4b398.jpg?1712355961,
Patient Naturalist,G,C,3,B-,,,,https://cards.scryfall.io/large/front/1/d/1dd17cea-9e8c-4dba-b6ab-a6b9de87a306.jpg?1712355965,
Railway Brawler,G,M,5,A+,,,,https://cards.scryfall.io/large/front/9/e/9ec1f76f-f21d-4f06-8c02-be6745183348.jpg?1712355970,
Rambling Possum,G,U,3,B-,,,,https://cards.scryfall.io/large/front/1/9/19d1e75f-0fee-4e07-9420-df771b696e85.jpg?1712401596,
Raucous Entertainer,G,U,2,C,,,,https://cards.scryfall.io/large/front/8/d/8dc3cbfe-410f-40e3-8021-647a2efb50bf.jpg?1712355978,
Reach for the Sky,G,C,4,D,,,,https://cards.scryfall.io/large/front/e/b/eb871985-a11b-4dfe-b0e3-898888c86277.jpg?1712355983,
Rise of the Varmints,G,U,4,C+,True,,,https://cards.scryfall.io/large/front/f/4/f4e879d8-a058-48e8-9733-f58b1e0da4b9.jpg?1712355986,
Lassoed by the Law,W,U,4,A-,,,,https://cards.scryfall.io/large/front/e/a/ea96eeac-c316-4247-a81f-0ddf52675ebf.jpg?1712355295,
Smuggler's Surprise,G,R,1,C+,,,,https://cards.scryfall.io/large/front/e/7/e7fbb489-e2b5-4278-8162-86802cf124d8.jpg?1712860610,
Snakeskin Veil,G,C,1,B-,,,,https://cards.scryfall.io/large/front/1/3/133fbdec-0d00-433f-9015-5eb091126e3a.jpg?1712355994,
Spinewoods Armadillo,G,U,6,A-,,,,https://cards.scryfall.io/large/front/f/7/f79d63e7-a8c6-4750-91c9-c575a4d0561b.jpg?1712356001,
Spinewoods Paladin,G,C,5,B-,,,,https://cards.scryfall.io/large/front/1/b/1b2b432d-9e73-4ab2-a098-546d406df6c0.jpg?1712356003,
Stubborn Burrowfiend,G,U,2,B-,,,,https://cards.scryfall.io/large/front/6/d/6d963eb4-d20b-4d3f-bf5d-c75f7bcb9670.jpg?1712356009,
Throw from the Saddle,G,C,2,B,,,,https://cards.scryfall.io/large/front/7/7/775874cc-4b78-4904-9c97-431c2e400c64.jpg?1712356011,
Trash the Town,G,U,1,B,,,,https://cards.scryfall.io/large/front/e/d/eda59f99-1d6d-4051-ac89-b7cbfa19262e.jpg?1712860614,
Tumbleweed Rising,G,C,2,C,,,,https://cards.scryfall.io/large/front/2/7/275d2d2a-ef85-48c9-919d-bc62cdad8a10.jpg?1712356021,
Voracious Varmint,G,C,2,C,,,,https://cards.scryfall.io/large/front/9/9/99b74fa3-c1d7-4780-977d-f2d6663a529a.jpg?1712356026,
Akul the Unrepentant,M,R,4,C-,,,,https://cards.scryfall.io/large/front/6/8/68fd8548-50db-4243-9154-377f32408d58.jpg?1712356029,
Mystical Tether,W,C,3,B-,,,,https://cards.scryfall.io/large/front/1/8/18344498-952e-489c-8b03-bd1bef4c26ca.jpg?1712355302,
"Annie Flash, the Veteran",M,M,6,A-,,,,https://cards.scryfall.io/large/front/8/d/8d4af7c3-a70d-4f71-b27d-b268c4a0f81e.jpg?1712356036,
Annie Joins Up,M,R,4,C,,,,https://cards.scryfall.io/large/front/1/6/1624a5f4-f5bc-47c9-85de-c5520ee234ce.jpg?1712356038,
Assimilation Aegis,M,M,3,A-,,,,https://cards.scryfall.io/large/front/0/1/014bf3c6-e46f-48f8-902f-82deeba260b2.jpg?1712356044,
At Knifepoint,M,U,3,D,,,,https://cards.scryfall.io/large/front/8/9/897d594d-b5b0-43dc-b877-b483942416ce.jpg?1712356046,
Badlands Revival,M,U,5,B-,,,,https://cards.scryfall.io/large/front/8/d/8d3ef971-cdd4-410c-97c3-df98e4f02ab2.jpg?1712356053,
Baron Bertram Graywater,M,U,4,D,,,,https://cards.scryfall.io/large/front/e/9/e9da18b4-1efc-44b7-8001-a2cfd44c69bf.jpg?1712356055,
"Bonny Pall, Clearcutter",M,R,6,A+,,,,https://cards.scryfall.io/large/front/4/3/4383ae7c-58ea-4354-93e4-677ad185c3bb.jpg?1712356061,
"Breeches, the Blastmaker",M,R,3,C+,,,,https://cards.scryfall.io/large/front/c/f/cf3bda9e-42af-4f99-a504-c96c25c2794b.jpg?1712356062,
"Bruse Tarl, Roving Rancher",M,R,4,A,,,,https://cards.scryfall.io/large/front/2/8/286c55c2-dcc1-4e87-a83f-9981d28ab62d.jpg?1712356070,
Cactusfolk Sureshot,M,U,4,B-,,,,https://cards.scryfall.io/large/front/3/1/318b8c5d-9fb0-488f-9b32-c2e29d1f1dbb.jpg?1712356071,
Archangel of Tithes,W,M,4,C+,,,,https://cards.scryfall.io/large/front/c/8/c853d04c-864b-491c-8c6f-72d2d4874d2f.jpg?1712355228,
Nurturing Pixie,W,U,1,D+,,,,https://cards.scryfall.io/large/front/0/f/0fe155f6-888b-41a0-a9a0-be7bea998718.jpg?1712355304,
Congregation Gryff,M,U,3,A-,,,,https://cards.scryfall.io/large/front/0/e/0ef4907a-2fc1-42c5-bffc-3b3f93601fb9.jpg?1712356078,
"Doc Aurlock, Grizzled Genius",M,U,2,C,True,,,https://cards.scryfall.io/large/front/6/f/6fc27b30-8c8e-434c-a72c-e1d409efc1ae.jpg?1712356080,
"Eriette, the Beguiler",M,R,4,D+,,,,https://cards.scryfall.io/large/front/f/4/f46c133a-7ae4-431b-88f2-ec606a7baf69.jpg?1712356086,
"Ertha Jo, Frontier Mentor",M,U,4,B-,,,,https://cards.scryfall.io/large/front/a/4/a4e81be6-6447-4f1e-be00-6fcdb2ab35af.jpg?1712356089,
Form a Posse,M,U,2,C+,True,,This is mostly a green card,https://cards.scryfall.io/large/front/3/9/39ee1387-c24e-4a66-8ad6-9afa9c0abcbb.jpg?1712356094,
"Ghired, Mirror of the Wilds",M,M,3,C+,,True,,https://cards.scryfall.io/large/front/e/4/e43e3d71-4fb8-4ab1-8c8f-b65ae3ad4cc4.jpg?1712356098,
"The Gitrog, Ravenous Ride",M,M,5,A-,,,,https://cards.scryfall.io/large/front/8/2/82512813-8618-483b-a7f0-e6a611d9d487.jpg?1712356103,
Honest Rutstein,M,U,3,B+,,,,https://cards.scryfall.io/large/front/2/5/259ddf66-76af-4857-83c3-c812327a6e23.jpg?1712356107,
Intimidation Campaign,M,U,3,C+,,,,https://cards.scryfall.io/large/front/5/9/596fb7a2-bb79-44b7-ad84-414c8139ec13.jpg?1712356111,
"Jem Lightfoote, Sky Explorer",M,U,4,C+,,,,https://cards.scryfall.io/large/front/e/2/e24fe6dc-662a-4abc-ad60-a1959b2be006.jpg?1712356117,
Omenport Vigilante,W,U,2,C-,,,,https://cards.scryfall.io/large/front/7/e/7ecd8b6f-b9aa-466a-909c-3209beef8244.jpg?1712355310,
"Jolene, Plundering Pugilist",M,U,3,B-,,,,https://cards.scryfall.io/large/front/f/e/fe30b5c8-4889-4350-bb1d-3e2a67d9dfb2.jpg?1712356118,
"Kambal, Profiteering Mayor",M,R,3,B-,,,,https://cards.scryfall.io/large/front/d/5/d53a775d-5898-41a8-b404-9b7d4721c6ba.jpg?1712356126,
Kellan Joins Up,M,R,3,B-,,True,,https://cards.scryfall.io/large/front/2/e/2e7f95d5-b279-4469-9c89-1e02630d61e6.jpg?1712356126,
"Kellan, the Kid",M,M,3,C+,,,,https://cards.scryfall.io/large/front/0/4/04dfbc4c-ab21-45db-bbd9-b9d245d60015.jpg?1712356134,
"Kraum, Violent Cacophony",M,U,4,C,,,,https://cards.scryfall.io/large/front/9/5/958a3e6b-7e20-40ea-8b2c-7c728934b5e5.jpg?1712356134,
