Name,Rating,Color,Rarity,Notes
The Fire Nation Drill,B-,B,rare,
Redirect Lightning,D,R,rare,
Firebender Ascension,B+,R,rare,
Firebending Student,C+,R,rare,
The Last Agni Kai,C+,R,rare,
"Zhao, the Moon Slayer",C,R,rare,
Wartime Protestors,C+,R,rare,
Ran and Shaw,B-,R,rare,
Earthen Ally,D+,BGRUW,rare,
Great Divide Guide,B,G,rare,
Earthbender Ascension,B+,G,rare,
Avatar Destiny,D,G,rare,
Diligent Zookeeper,C+,G,rare,
The Earth King,A,G,rare,
Elemental Teachings,G,G,rare,
Earth King's Lieutenant,B,GW,rare,
Sandbender Scavengers,C+,BW,rare,
"Sokka, Bold Boomeranger",C+,RU,rare,
"Zuko, Conflicted",D,BR,rare,
Fire Lord Zuko,C-,BRW,rare,
"Iroh, Tea Master",C-,RW,rare,
"Katara, the Fearless",C,GUW,rare,
The Lion-Turtle,D+,GU,rare,
Beifong's Bounty Hunters,B,BG,rare,
Fire Lord Azula,B-,BRU,rare,
"Sokka, Tenacious Tactician",B,RUW,rare,
"Toph, Hardheaded Teacher",C,GR,rare,
"Toph, the First Metalbender",C+,GRW,rare,
"Azula, Cunning Usurper",B,BU,rare,
"Katara, Water Tribe's Hope",C,UW,rare,
"Iroh, Grand Lotus",C,GRU,rare,
Abandoned Air Temple,B,W,rare,
Agna Qel'a,C+,U,rare,
Ba Sing Se,B-,G,rare,
Fire Nation Palace,C,R,rare,
Jasmine Dragon Tea Shop,C,,rare,
Realm of Koh,D+,B,rare,
Secret Tunnel,D,,rare,
"Aang, Swift Savior // Aang and La, Ocean's Fury",A,UW,rare,
"Aang, at the Crossroads // Aang, Destined Savior",C,GUW,rare,
United Front,B-,W,mythic,
"Appa, Steadfast Guardian",A-,W,mythic,
"Wan Shi Tong, Librarian",A,U,mythic,
Secret of Bloodbending,D+,U,mythic,
Phoenix Fleet Airship,D,B,mythic,
"Koh, the Face Stealer",A-,B,mythic,
Fated Firepower,D,R,mythic,
Sozin's Comet,D,R,mythic,
Badgermole Cub,B,G,mythic,
"Bumi, Unleashed",A,GR,mythic,
"Ozai, the Phoenix King",B-,BR,mythic,
"Avatar Aang // Aang, Master of Elements",C,BGRUW,mythic,
The Legend of Kuruk // Avatar Kuruk,B,U,mythic,
The Legend of Roku // Avatar Roku,B-,R,mythic,
White Lotus Tile,D-,,mythic,
The Legend of Yangchen // Avatar Yangchen,C-,W,mythic,
Planetarium of Wan Shi Tong,C+,,mythic,
The Legend of Kyoshi // Avatar Kyoshi,C-,G,mythic,
The Rise of Sozin // Fire Lord Sozin,B-,B,mythic,
The Walls of Ba Sing Se,G,,mythic,
